inventory_id,product_id,location,quantity,last_updated
74ce5f52-8b37-4fac-a9ff-5b5ed8f32e14,87d53f65-052f-48b5-9fd5-22e48b9bff3f,Warehouse-A,187,2026-06-30T16:59:27.379356
3d380a75-7af6-4737-8218-0395f969ef02,69558ba3-aec3-44ee-b061-dfc8793e2947,Warehouse-A,249,2026-06-30T16:59:27.379356
c439bfa3-d199-430a-981c-1c718db5f8b5,12ddf895-8a9b-4006-b23c-37600868f296,Warehouse-A,271,2026-06-30T16:59:27.379356
dc6fdfc1-2159-40fc-bbb9-4a416b6c3a80,52eaafc4-27ab-4417-9de3-b77f74ace503,Warehouse-B,54,2026-06-30T16:59:27.379356
36b1b501-8821-4966-9f0a-aa0c17208414,18b35783-ca9b-48d7-90bf-a3ab2382414b,Warehouse-A,297,2026-06-30T16:59:27.379356
31971a6e-fde5-4d7b-8f48-db88535f152e,64060bd7-facb-4233-a66a-e0ddf6689177,Warehouse-A,228,2026-06-30T16:59:27.379356
b1f5cc45-3b8a-41db-a8fe-0aacc8a37434,689259f3-9cf3-4b29-9a81-58cc29a5aa73,Warehouse-A,55,2026-06-30T16:59:27.379356
f1d7fd25-8f87-4542-80b5-edaba05a4996,6a57d40b-a021-463a-ab17-3ab1010c2ea9,Warehouse-A,299,2026-06-30T16:59:27.379356
45b9da87-910a-495a-b825-8da3f6772e03,17ab0582-e8d9-4ac8-a231-d03bb44ffbc6,Warehouse-A,280,2026-06-30T16:59:27.379356
0b12175e-0dd9-45a8-98b3-dbfa3aba79de,3ccae975-fa81-4f75-afbd-471b3f219a30,Warehouse-B,177,2026-06-30T16:59:27.379356
845a691c-da6e-44a2-bbab-914c83ec6615,94e249ac-de60-419d-a860-a9b95db3120f,Warehouse-A,253,2026-06-30T16:59:27.379356
6f0c8526-3789-4a54-956a-25aaed968faa,33a27557-0ecd-4c52-96e5-d8dd813a52f9,Warehouse-B,234,2026-06-30T16:59:27.379356
eb047554-9c0b-45a9-b4a1-35ba8220b08e,5e5798bf-d98b-4498-95cc-ac798983346a,Warehouse-A,262,2026-06-30T16:59:27.379356
8884f572-b44e-4a2d-a229-35d452c6fc29,b1665157-ec23-4fb7-9142-5036fa718a7e,Warehouse-A,31,2026-06-30T16:59:27.379356
a8c9770e-c8e8-4312-b904-8eedc9d24ebc,063eeacc-9bf4-45e2-8df2-8263bdf63b00,Warehouse-A,60,2026-06-30T16:59:27.379356
46595d02-d99a-4428-b6f0-9ef677ac5fde,56d918b9-db7c-4e66-ad94-0d0212a04ba1,Warehouse-A,257,2026-06-30T16:59:27.379356
78739a90-f93a-43c5-bdc3-78972857a246,4ae984b3-d5db-420d-b90c-7676830b42fd,Warehouse-B,279,2026-06-30T16:59:27.379356
2030f27b-c131-4405-92b8-658639a503bd,a647998e-94f6-4d9e-a1b0-fa73ff37285f,Warehouse-A,194,2026-06-30T16:59:27.379356
9235533d-8247-49cd-9569-c817bb1e0930,5227d096-f152-4f19-ad7d-44114a7dfdb7,Warehouse-B,221,2026-06-30T16:59:27.379356
